,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6,-73.97,79.0,52,100,1.52,overcast clouds
1,Punta Arenas,CL,-53.15,-70.92,44.6,70,76,10.29,broken clouds
2,Vardo,NO,70.37,31.11,57.2,67,52,20.8,broken clouds
3,Vaini,TO,-21.2,-175.2,68.0,72,20,14.99,few clouds
4,Khatanga,RU,71.97,102.5,40.64,85,100,15.23,overcast clouds
5,Kelcyre,AL,40.31,20.19,68.09,59,83,5.7,broken clouds
6,Severo-Kurilsk,RU,50.68,156.12,53.67,93,100,13.27,overcast clouds
7,Kapaa,US,22.08,-159.32,82.4,65,20,11.41,few clouds
8,Hithadhoo,MV,-0.6,73.08,81.68,78,1,14.23,clear sky
9,Cape Town,ZA,-33.93,18.42,60.01,87,93,8.05,overcast clouds
10,Oktyabrskoye,RU,43.06,44.74,69.01,82,0,6.71,clear sky
11,Tasiilaq,GL,65.61,-37.64,44.6,85,20,13.87,few clouds
12,Mount Gambier,AU,-37.83,140.77,44.6,93,40,8.05,scattered clouds
13,Eagle Pass,US,28.71,-100.5,89.01,66,91,4.0,overcast clouds
14,Barrow,US,71.29,-156.79,37.4,86,90,14.99,light rain
15,Avarua,CK,-21.21,-159.78,77.0,88,91,12.75,overcast clouds
16,Puerto Ayora,EC,-0.74,-90.35,77.0,65,20,18.34,few clouds
17,Atkinson,US,42.84,-71.15,80.01,57,75,8.05,broken clouds
18,Lasa,IT,46.62,10.7,51.8,71,5,1.12,clear sky
19,Karratha,AU,-20.74,116.85,70.21,27,0,7.65,clear sky
20,Baruun-Urt,MN,46.68,113.28,51.82,66,37,2.55,scattered clouds
21,Marfino,RU,55.7,37.38,64.4,55,100,8.95,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,39.2,86,75,0.76,light intensity drizzle
23,Atuona,PF,-9.8,-139.03,78.6,77,38,22.64,scattered clouds
24,Denpasar,ID,-8.65,115.22,77.34,87,49,9.51,scattered clouds
25,Khandbari,NP,27.37,87.2,72.43,76,70,0.96,broken clouds
26,Taltal,CL,-25.4,-70.48,62.91,56,22,7.23,few clouds
27,Komsomolskiy,UZ,40.43,71.72,68.0,52,0,9.17,clear sky
28,Sao Filipe,CV,14.9,-24.5,79.59,81,65,10.29,light rain
29,Kenai,US,60.55,-151.26,53.6,76,90,9.17,overcast clouds
30,Bambous Virieux,MU,-20.34,57.76,68.0,82,75,9.17,shower rain
31,Bay Roberts,CA,47.6,-53.26,68.0,67,19,1.01,few clouds
32,Lengshuitan,CN,26.41,111.6,74.41,68,52,2.44,light rain
33,Tuktoyaktuk,CA,69.45,-133.04,48.2,76,75,12.75,broken clouds
34,Port Elizabeth,ZA,-33.92,25.57,60.8,87,57,9.17,broken clouds
35,Mataura,NZ,-46.19,168.86,45.0,72,100,11.01,overcast clouds
36,Poum,NC,-20.23,164.02,68.11,66,16,14.65,few clouds
37,Rikitea,PF,-23.12,-134.97,72.0,85,0,11.01,clear sky
38,Anadyr,RU,64.75,177.48,42.8,87,20,15.66,few clouds
39,Qaanaaq,GL,77.48,-69.36,28.8,85,92,2.86,overcast clouds
40,Grindavik,IS,63.84,-22.43,44.6,81,75,25.28,light rain
41,Nikolskoye,RU,59.7,30.79,66.0,82,40,6.71,scattered clouds
42,Glencoe,ZA,-28.18,30.15,54.57,88,0,3.96,clear sky
43,Cabo San Lucas,MX,22.89,-109.91,91.4,46,20,6.93,few clouds
44,Hobart,AU,-42.88,147.33,48.2,61,40,10.29,scattered clouds
45,Busselton,AU,-33.65,115.33,59.0,70,76,11.23,broken clouds
46,Port-Gentil,GA,-0.72,8.78,77.0,83,40,16.31,scattered clouds
47,Butaritari,KI,3.07,172.79,82.78,67,44,3.78,scattered clouds
48,Haines Junction,CA,60.75,-137.51,51.82,60,99,6.42,overcast clouds
49,Colomi,BO,-17.35,-65.87,84.2,14,20,9.17,few clouds
50,Luderitz,NA,-26.65,15.16,57.76,55,0,1.14,clear sky
51,Kahului,US,20.89,-156.47,82.4,58,40,12.75,scattered clouds
52,Muros,ES,42.78,-9.06,75.0,62,0,3.51,clear sky
53,Peniche,PT,39.36,-9.38,78.01,51,0,5.99,clear sky
54,Santa Cruz,BO,-17.8,-63.17,80.6,39,100,5.82,overcast clouds
55,Saint-Francois,FR,46.42,3.91,69.8,46,96,2.24,overcast clouds
56,Arman,RU,59.7,150.17,48.87,61,1,3.42,clear sky
57,Tuatapere,NZ,-46.13,167.68,45.0,72,100,11.01,overcast clouds
58,Verkhniy Baskunchak,RU,48.23,46.72,66.52,27,0,11.27,clear sky
59,Souillac,MU,-20.52,57.52,68.0,82,75,9.17,shower rain
60,Sola,VU,-13.88,167.55,77.07,80,100,28.16,overcast clouds
