City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-08-31 17:23:04,-23.12,-134.97,69.58,83,95,13.18
1,Inhambane,MZ,2020-08-31 17:25:23,-23.86,35.38,68.0,94,75,13.87
2,Tiksi,RU,2020-08-31 17:25:23,71.69,128.87,41.74,89,0,9.84
3,Popovo,BG,2020-08-31 17:25:24,43.35,26.23,80.6,51,0,4.7
4,Chokurdakh,RU,2020-08-31 17:25:24,70.63,147.92,39.51,88,100,9.31
5,Yei,SS,2020-08-31 17:24:23,4.09,30.68,70.63,91,81,2.35
6,Mataura,NZ,2020-08-31 17:25:24,-46.19,168.86,36.59,94,100,3.04
7,Bethel,US,2020-08-31 17:23:07,41.37,-73.41,72.0,53,20,6.93
8,Zhengjiatun,CN,2020-08-31 17:25:25,43.51,123.51,70.11,93,100,9.62
9,Jatai,BR,2020-08-31 17:25:25,-17.88,-51.71,96.78,14,1,8.66
10,Isangel,VU,2020-08-31 17:24:44,-19.55,169.27,66.76,73,22,9.06
11,Buala,SB,2020-08-31 17:25:25,-8.14,159.59,81.07,80,37,8.5
12,Ribeira Grande,PT,2020-08-31 17:25:25,38.52,-28.7,82.4,48,20,18.34
13,Saskylakh,RU,2020-08-31 17:25:26,71.92,114.08,48.52,71,91,7.85
14,Avarua,CK,2020-08-31 17:24:42,-21.21,-159.78,69.8,68,90,4.7
15,Paamiut,GL,2020-08-31 17:25:26,61.99,-49.67,43.21,88,1,6.24
16,Ushuaia,AR,2020-08-31 17:21:31,-54.8,-68.3,35.6,80,40,26.4
17,College,US,2020-08-31 17:24:59,64.86,-147.8,55.4,71,75,3.06
18,Butaritari,KI,2020-08-31 17:25:26,3.07,172.79,83.05,75,6,10.38
19,Ponta Do Sol,PT,2020-08-31 17:25:26,32.67,-17.1,75.0,56,1,3.85
20,Atuona,PF,2020-08-31 17:23:12,-9.8,-139.03,78.49,79,21,28.81
21,Muli,MV,2020-08-31 17:25:27,2.92,73.57,83.86,69,66,8.86
22,Khani,GE,2020-08-31 17:25:27,41.96,42.96,71.6,88,0,2.24
23,Cape Town,ZA,2020-08-31 17:25:00,-33.93,18.42,52.0,87,75,8.05
24,Careiro Da Varzea,BR,2020-08-31 17:25:27,-3.2,-59.81,91.4,59,40,5.82
25,Albany,US,2020-08-31 17:24:04,42.6,-73.97,73.99,49,70,4.16
26,Paris,FR,2020-08-31 17:23:06,48.85,2.35,69.01,48,3,5.82
27,Airai,TL,2020-08-31 17:25:28,-8.93,125.41,59.79,100,82,4.21
28,Camabatela,AO,2020-08-31 17:25:28,-8.19,15.38,70.75,67,100,3.02
29,Narsaq,GL,2020-08-31 17:23:44,60.92,-46.05,51.8,66,20,4.7
30,San Patricio,MX,2020-08-31 17:24:58,19.22,-104.7,86.0,74,75,11.41
31,Ahipara,NZ,2020-08-31 17:23:03,-35.17,173.17,55.38,82,87,6.69
32,Sakakah,SA,2020-08-31 17:25:29,29.97,40.21,98.6,5,0,5.82
33,Barrow,US,2020-08-31 17:25:29,71.29,-156.79,37.4,86,90,21.92
34,Tambovka,RU,2020-08-31 17:25:29,50.1,128.05,59.0,100,72,2.24
35,Georgetown,MY,2020-08-31 17:22:10,5.41,100.34,82.4,88,20,3.36
36,Mulanje,MW,2020-08-31 17:25:29,-16.03,35.5,76.41,44,4,8.72
37,Hithadhoo,MV,2020-08-31 17:25:30,-0.6,73.08,82.44,75,90,12.77
38,Port Alfred,ZA,2020-08-31 17:23:40,-33.59,26.89,58.14,54,21,12.24
39,Salalah,OM,2020-08-31 17:25:30,17.02,54.09,78.8,88,75,4.7
40,Punta Arenas,CL,2020-08-31 17:24:49,-53.15,-70.92,44.6,65,40,19.46
41,Kutum,SD,2020-08-31 17:25:30,14.2,24.67,78.44,56,52,8.9
42,Carnarvon,AU,2020-08-31 17:25:30,-24.87,113.63,66.2,82,75,12.75
43,Teguldet,RU,2020-08-31 17:25:31,57.31,88.17,57.29,89,9,7.56
44,Manyana,BW,2020-08-31 17:25:31,-23.4,21.72,54.64,30,0,6.4
45,Nikolskoye,RU,2020-08-31 17:25:31,59.7,30.79,60.01,82,40,4.47
46,Lebu,CL,2020-08-31 17:25:31,-37.62,-73.65,50.92,60,0,4.72
47,Zacatepec,MX,2020-08-31 17:25:31,18.65,-99.2,73.4,78,75,5.82
48,Ancud,CL,2020-08-31 17:25:31,-41.87,-73.82,51.42,68,6,3.78
49,Tasiilaq,GL,2020-08-31 17:25:32,65.61,-37.64,41.0,75,100,13.87
50,Kirkland Lake,CA,2020-08-31 17:25:32,48.14,-80.04,64.4,63,90,11.41
51,Sunrise Manor,US,2020-08-31 17:25:32,36.21,-115.07,87.8,38,1,4.7
52,Hermanus,ZA,2020-08-31 17:25:32,-34.42,19.23,52.0,86,17,6.8
53,Kavaratti,IN,2020-08-31 17:25:33,10.57,72.64,82.18,80,76,12.55
54,Turukhansk,RU,2020-08-31 17:25:33,65.82,87.98,49.03,90,28,6.35
55,Bundibugyo,UG,2020-08-31 17:25:33,0.74,30.04,69.4,88,96,3.36
56,Bredasdorp,ZA,2020-08-31 17:23:25,-34.53,20.04,51.8,87,42,2.24
57,Port Elizabeth,ZA,2020-08-31 17:25:33,-33.92,25.57,53.6,54,42,4.7
58,Ponta Grossa,BR,2020-08-31 17:22:50,-25.09,-50.16,76.26,57,4,6.44
